Altium Designer Pick and Place Locations
C:\Users\alex\AppData\Local\TempReleases\Snapshot\3\Assembly v0.1\Pick Place\Pick Place for smart-ppe(v0.1).txt

========================================================================================================================
File Design Information:

Date:       30/10/20
Time:       16:01
Revision:   Not in VersionControl
Variant:    v0.1
Units used: mil

Center-X(mil) Center-Y(mil) Comment                           Description                                                                                                                                                               Designator Footprint                           Layer       Rotation 
-399.929      309.158       VSTOR                             "0.6mm round test point"                                                                                                                                                  TP9        TP06R                               TopLayer    90       
239.228       -55.000       VBAT                              "0.6mm round test point"                                                                                                                                                  TP8        TP06R                               TopLayer    90       
171.228       -454.000      VSTOR                             "0.6mm round test point"                                                                                                                                                  TP7        TP06R                               TopLayer    90       
315.228       -558.000      VSTOR                             "0.6mm round test point"                                                                                                                                                  TP6        TP06R                               TopLayer    90       
517.229       -335.000      VBAT_OK                           "0.6mm round test point"                                                                                                                                                  TP5        TP06R                               TopLayer    90       
114.228       -197.000      VOUT                              "0.6mm round test point"                                                                                                                                                  TP4        TP06R                               TopLayer    90       
-334.772      -344.000      HARVEST_IN                        "0.6mm round test point"                                                                                                                                                  TP3        TP06R                               TopLayer    90       
-96.772       -176.000      VBAT                              "0.6mm round test point"                                                                                                                                                  TP2        TP06R                               TopLayer    90       
163.728       -25.000       VSTOR                             "0.6mm round test point"                                                                                                                                                  TP1        TP06R                               BottomLayer 90       
325.685       -445.988      "Solder Bridge"                   "Normally open solder jumper"                                                                                                                                             SB5        Solder_Bridge-Footprint-1           BottomLayer 90       
374.500       551.000       "Solder Bridge"                   "Normally open solder jumper"                                                                                                                                             SB1        Solder_Bridge-Footprint-1           TopLayer    180      
232.560       578.225       470R                              "Resistor 470O 1% 0603"                                                                                                                                                   R23        RESC1608X55X25NL10T15               TopLayer    90       
291.338       563.596       HSMG-C190                         "Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                                                                  DS1        AVAG-HSMX-C190_V                    TopLayer    270      
-216.331      -511.441      "8.25M 1%"                        "Resistor O % 0603"                                                                                                                                                       R1         RESC1608X55X25NL10T15               TopLayer    270      
425.699       -211.416      MAX17222ELT+T                     "IC REG BOOST ADJ .5A NANO 6UDFN"                                                                                                                                         U7         MAX17222ELT+T                       BottomLayer 270      
273.661       182.201       1M                                "Resistor O % 0603"                                                                                                                                                       R22        RESC1608X55X25NL10T15               BottomLayer 360      
-225.000      224.000       1M                                "Resistor O % 0603"                                                                                                                                                       R21        RESC1608X55X25NL10T15               BottomLayer 360      
-80.000       139.000       "100k 1%"                         "Resistor O % 0603"                                                                                                                                                       R20        RESC1608X55X25NL10T15               BottomLayer 90       
-315.000      134.000       1M                                "Resistor O % 0603"                                                                                                                                                       R19        RESC1608X55X25NL10T15               BottomLayer 270      
-140.000      139.000       "180k 1%"                         "Resistor O % 0603"                                                                                                                                                       R18        RESC1608X55X25NL10T15               BottomLayer 270      
1.941         -123.662      1M                                "Resistor O % 0603"                                                                                                                                                       R17        RESC1608X55X25NL10T15               TopLayer    270      
299.661       12.681        1M                                "Resistor O % 0603"                                                                                                                                                       R16        RESC1608X55X25NL10T15               BottomLayer 360      
295.164       -368.334      3.3M                              "Resistor 3.3MO 1% 0603"                                                                                                                                                  R15        RESC1608X55X25NL10T15               BottomLayer 360      
-225.000      134.000       DMC2400UV-7                       "Complementary Pair Enhancement Mode MOSFET, 20 V N-Channel, -20 V P-Channel, -55 to 150 degC, 6-Pin SOTFL (SOT563), RoHS, Tape and Reel"                                 Q3         DIOD-SOT563-6_V                     BottomLayer 180      
425.704       -402.546      SI2323DS-T1-E3                    "P-Channel MOSFET, 20 V, -55 to 150 degC, 3-Pin TO-236, RoHS, Tape and Reel"                                                                                              Q2         VISH-SI2323DS-T1-E3-3_V             BottomLayer 180      
254.172       -211.126      74438357022                       "WURTH ELEKTRONIK - 74438357022 - INDUCTOR, 2.2UH, 5.2A, 20%, SHIELDED"                                                                                                   L4         74438357022                         BottomLayer 90       
